business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Bedekar's English Class,9890903000,"Spoken English, Tuition, English Academy",4.9,8,,"Nalegaon, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Bedekar's English Class/data=!4m7!3m6!1s0x3bdcb061a8ff2eb1:0x7d99f7f6f72803f7!8m2!3d19.0938578!4d74.7364277!16s/g/11fxw8s715!19sChIJsS7_qGGw3DsR9wMo9_b3mX0
Colours Drawing Potrait Rangoli And Mahendi Academy,9890351213,SSC,4.9,89,,"Savedi, Ahmednagar",Ahmednagar,,,"https://www.google.com/maps/place/Colours Drawing,Potrait Rangoli and Mahendi Academy/data=!4m7!3m6!1s0x3bdcba9c9e48b2cf:0x96710d5043a8e74b!8m2!3d19.1189283!4d74.7480516!16s/g/11c2pg17ck!19sChIJz7JInpy63DsRS-eoQ1ANcZY"
Durekar Science Academy,9595953085,"Tuition, Science",4.9,162,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Durekar Science Academy/data=!4m7!3m6!1s0x3bdcba62b5ee2a59:0xb853b86b5e0158b8!8m2!3d19.1252293!4d74.7328691!16s/g/11td8c60pv!19sChIJWSrutWK63DsRuFgBXmu4U7g
Focus Computer Ahmednagar,8380075555,"Computer Classes, Tuition",4.9,400,,"Ves, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Focus Computer Ahmednagar/data=!4m7!3m6!1s0x3bdcb05fc51fd9f1:0x29c7fee3f469760f!8m2!3d19.0895136!4d74.7356865!16s/g/11f57k1pry!19sChIJ8dkfxV-w3DsRD3Zp9OP-xyk
Gigabyte Computer,9422228010,"Computer Classes, Tuition",4.9,277,,"Kedgaon, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Gigabyte Computer/data=!4m7!3m6!1s0x3bdcb1005b841cf7:0xc8ec7c070ddd6d56!8m2!3d19.0629962!4d74.7055806!16s/g/11wnjdk75h!19sChIJ9xyEWwCx3DsRVm3dDQd87Mg
Godavari Career Academy,9822107650,"Police Bharti, Tuition",4.9,20,,"Bhavani Nagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Godavari Career Academy/data=!4m7!3m6!1s0x3bdcb05e9cba11b3:0x87c1120786b093b7!8m2!3d19.0869692!4d74.7392583!16s/g/11f3tjgrph!19sChIJsxG6nF6w3DsRt5OwhgcSwYc
J.k. Academy All Subjects Under One Roof,9623685696,Tuition,4.9,64,,"Jakat Naka, Darewadi",Ahmednagar,,,https://www.google.com/maps/place/J.K. ACADEMY (All subjects under one roof)/data=!4m7!3m6!1s0x3bdcb154b17c5511:0x449b6e149d5a9b7f!8m2!3d19.0792083!4d74.7713032!16s/g/11txjgb67z!19sChIJEVV8sVSx3DsRf5tanRRum0Q
Jha S Academy,7875100199,Tuition,4.9,203,,"Wakodi Phata, Darewadi",Ahmednagar,,,https://www.google.com/maps/place/Jha’s Academy/data=!4m7!3m6!1s0x3bdcb1b9fc93d263:0x792669bb56376693!8m2!3d19.073753!4d74.7584725!16s/g/11sr83sv40!19sChIJY9KT_Lmx3DsRk2Y3VrtpJnk
Karale Computer Typing Institute,,"Computer Classes, Tuition",4.9,11,,"Bhavani Nagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Karale Computer Typing Institute/data=!4m7!3m6!1s0x3bdcb05b94bfcbc9:0x66ce13c24d585890!8m2!3d19.0839195!4d74.7412015!16s/g/1ptwgzfvc!19sChIJycu_lFuw3DsRkFhYTcITzmY
Karale Math & B K Physics Academy A.ngar,9923222488,"Tuition, Science, Mathematics",4.9,55,,"Savedi, Ahmednagar",Ahmednagar,,,"https://www.google.com/maps/place/Karale Math & B K PHYSICS ACADEMY,A.NGAR/data=!4m7!3m6!1s0x3bdcba7d31aaa3f7:0x811f3d81922bd59b!8m2!3d19.1241897!4d74.7316935!16s/g/11cs5b2w09!19sChIJ96OqMX263DsRm9UrkoE9H4E"
